"Date","Open"
"2018-02-16","130.320007"
"2018-02-20","126.860001"
"2018-02-21","129.580002"
"2018-02-22","127.790001"
"2018-02-23","127.050003"
"2018-02-26","130.130005"
"2018-02-27","129.149994"
"2018-02-28","126.099998"
"2018-03-01","124.199997"
"2018-03-02","120.519997"
"2018-03-05","119.050003"
"2018-03-06","122.75"
"2018-03-07","122.300003"
"2018-03-08","125.300003"
"2018-03-09","124.199997"
"2018-03-12","124.599998"
"2018-03-13","124.970001"
"2018-03-14","123.93"
"2018-03-15","122.470001"
"2018-03-16","123.18"
"2018-03-19","122.419998"
"2018-03-20","121.129997"
"2018-03-21","123.260002"
"2018-03-22","121.93"
"2018-03-23","120.889999"
"2018-03-26","121.699997"
"2018-03-27","122.690002"
"2018-03-28","121.489998"
"2018-03-29","121.169998"
"2018-04-02","119.690002"
"2018-04-03","120.510002"
"2018-04-04","117.25"
"2018-04-05","120.919998"
"2018-04-06","121.330002"
"2018-04-09","121.529999"
"2018-04-10","121.949997"
"2018-04-11","120.720001"
"2018-04-12","121.529999"
"2018-04-13","121.730003"
"2018-04-16","122.489998"
"2018-04-17","123.739998"
"2018-04-18","124.190002"
"2018-04-19","124"
"2018-04-20","122.419998"
"2018-04-23","121.470001"
"2018-04-24","122.730003"
"2018-04-25","122.459999"
"2018-04-26","123.459999"
"2018-04-27","123"
"2018-04-30","121.800003"
"2018-05-01","122.660004"
"2018-05-02","126.410004"
"2018-05-03","124.18"
"2018-05-04","134.919998"
"2018-05-07","139.360001"
"2018-05-08","136.800003"
"2018-05-09","136.539993"
"2018-05-10","135.039993"
"2018-05-11","135.610001"
"2018-05-14","135.350006"
"2018-05-15","134.020004"
"2018-05-16","133.460007"
"2018-05-17","133.550003"
"2018-05-18","133.160004"
"2018-05-21","134.5"
"2018-05-22","133.910004"
"2018-05-23","130.679993"
"2018-05-24","130.539993"
"2018-05-25","131.130005"
"2018-05-29","127.809998"
"2018-05-30","129.619995"
"2018-05-31","130.380005"
"2018-06-01","133.660004"
"2018-06-04","132.610001"
"2018-06-05","135.839996"
"2018-06-06","136.970001"
"2018-06-07","138.240005"
"2018-06-08","136.220001"
"2018-06-11","138.740005"
"2018-06-12","140.580002"
"2018-06-13","142.589996"
"2018-06-14","148.080002"
"2018-06-15","149.850006"
"2018-06-18","146.449997"
"2018-06-19","145.350006"
"2018-06-20","144.479996"
"2018-06-21","141.550003"
"2018-06-22","141.610001"
"2018-06-25","137.979996"
"2018-06-26","136.869995"
"2018-06-27","137.800003"
"2018-06-28","131.869995"
"2018-06-29","135.610001"
"2018-07-02","132.779999"
"2018-07-03","134.570007"
"2018-07-05","135.919998"
"2018-07-06","135.160004"
"2018-07-09","136.029999"
"2018-07-10","138.369995"
"2018-07-11","136.080002"
"2018-07-12","137.360001"
"2018-07-13","143.25"
"2018-07-16","142"
"2018-07-17","141.580002"
"2018-07-18","142.720001"
"2018-07-19","142.210007"
"2018-07-20","140.020004"
"2018-07-23","132.5"
"2018-07-24","134.460007"
"2018-07-25","132.089996"
"2018-07-26","132.509995"
"2018-07-27","131.179993"
"2018-07-30","131.539993"
"2018-07-31","132.559998"
"2018-08-01","134.770004"
"2018-08-02","122.489998"
"2018-08-03","130.850006"
"2018-08-06","123.650002"
"2018-08-07","125.839996"
"2018-08-08","126.010002"
"2018-08-09","125.949997"
"2018-08-10","120.18"
"2018-08-13","121.330002"
"2018-08-14","121.75"
"2018-08-15","120.57"
"2018-08-16","120.269997"
"2018-08-17","119.510002"
"2018-08-20","121.529999"
"2018-08-21","124.870003"
"2018-08-22","126.959999"
"2018-08-23","124.629997"
"2018-08-24","126.260002"
"2018-08-27","127.260002"
"2018-08-28","129.550003"
"2018-08-29","132.660004"
"2018-08-30","134.539993"
"2018-08-31","132.889999"
"2018-09-04","130.059998"
"2018-09-05","127.629997"
"2018-09-06","126.050003"
"2018-09-07","126.199997"
"2018-09-10","127.410004"
"2018-09-11","125.699997"
"2018-09-12","131.240005"
"2018-09-13","133.729996"
"2018-09-14","133.100006"
"2018-09-17","133.279999"
"2018-09-18","133.110001"
"2018-09-19","136.899994"
"2018-09-20","135.869995"
"2018-09-21","137.289993"
"2018-09-24","137.470001"
"2018-09-25","140.020004"
"2018-09-26","139.839996"
"2018-09-27","140.960007"
"2018-09-28","137.259995"
"2018-10-01","139.669998"
"2018-10-02","137.220001"
"2018-10-03","137.369995"
"2018-10-04","136.270004"
"2018-10-05","131.710007"
"2018-10-08","128.809998"
"2018-10-09","127.949997"
"2018-10-10","123.779999"
"2018-10-11","117.449997"
"2018-10-12","117.620003"
"2018-10-15","114.68"
"2018-10-16","122.800003"
"2018-10-17","119.480003"
"2018-10-18","116.449997"
"2018-10-19","115.919998"
"2018-10-22","115.220001"
"2018-10-23","112.970001"
"2018-10-24","113.419998"
"2018-10-25","114.110001"
"2018-10-26","113.290001"
"2018-10-29","117.779999"
"2018-10-30","114.919998"
"2018-10-31","117.790001"
"2018-11-01","120.029999"
"2018-11-02","120.239998"
"2018-11-05","116.419998"
"2018-11-06","115.470001"
"2018-11-07","115.940002"
"2018-11-08","115.949997"
"2018-11-09","111.75"
"2018-11-12","108.589996"
"2018-11-13","108.919998"
"2018-11-14","112.57"
"2018-11-15","109.75"
"2018-11-16","110.32"
"2018-11-19","110.5"
"2018-11-20","105.760002"
"2018-11-21","105.400002"
"2018-11-23","106.709999"
"2018-11-26","107.989998"
"2018-11-27","106.989998"
"2018-11-28","102.639999"
"2018-11-29","108.269997"
"2018-11-30","108.5"
"2018-12-03","111.809998"
"2018-12-04","111.599998"
"2018-12-06","106.220001"
"2018-12-07","108.309998"
"2018-12-10","105.239998"
"2018-12-11","107.529999"
"2018-12-12","105.900002"
"2018-12-13","105.809998"
"2018-12-14","102.120003"
"2018-12-17","100.790001"
